n,mu,sigma,best_beta
2,0,10,0.4689949032859048
2,0,20,0.682174404779498
2,0,30,0.341087202389749
2,0,50,0.4370179780618658
2,0,100,0.36240515253910827
2,0,150,0.45833592821122515
2,0,200,0.5329487537339828
2,10,10,0.4796538783605845
2,10,20,0.7248103050782164
2,10,30,0.6182205543314201
2,10,50,0.6928333798541776
2,10,100,0.5862436291073811
2,10,150,0.7141513300035369
2,10,200,0.7034923549288571
2,20,10,0.7461282552275759
2,20,20,0.682174404779498
2,20,30,0.5009718285099438
2,20,50,0.47965387836058443
2,20,100,0.5969026041820606
2,20,150,0.44767695313654554
2,20,200,0.5969026041820606
2,30,10,0.7461282552275759
2,30,20,0.6928333798541775
2,30,30,0.7461282552275759
2,30,50,0.5969026041820606
2,30,100,0.6715154297048184
2,30,150,0.4157000279125066
2,30,200,0.4903128534352641
2,50,10,0.7461282552275759
2,50,20,0.7354692801528963
2,50,30,0.682174404779498
2,50,50,0.7461282552275759
2,50,100,0.5969026041820606
2,50,150,0.6288795294060996
2,50,200,0.5862436291073811
2,100,10,0.7461282552275759
2,100,20,0.7461282552275759
2,100,30,0.7461282552275759
2,100,50,0.7461282552275759
2,100,100,0.7461282552275759
2,100,150,0.7141513300035369
2,100,200,0.27713335194167105
2,150,10,0.7461282552275759
2,150,20,0.7461282552275759
2,150,30,0.7461282552275759
2,150,50,0.7461282552275759
2,150,100,0.7461282552275759
2,150,150,0.6395385044807794
2,150,200,0.7034923549288573
2,200,10,0.7461282552275759
2,200,20,0.7461282552275759
2,200,30,0.7461282552275759
2,200,50,0.7461282552275759
2,200,100,0.7461282552275759
2,200,150,0.7034923549288571
2,200,200,0.6501974795554589
4,0,10,0.4050410528378269
4,0,20,0.5542667038833421
4,0,30,0.4689949032859048
4,0,50,0.042635900298718624
4,0,100,0.28779232701635066
4,0,150,0.28779232701635066
4,0,200,0.5329487537339828
4,10,10,0.6715154297048184
4,10,20,0.45833592821122515
4,10,30,0.4689949032859048
4,10,50,0.14922565104551516
4,10,100,0.4370179780618659
4,10,150,0.2984513020910303
4,10,200,0.28779232701635066
4,20,10,0.682174404779498
4,20,20,0.5222897786593031
4,20,30,0.61822055433142
4,20,50,0.4903128534352641
4,20,100,0.5329487537339828
4,20,150,0.2558154017923117
4,20,200,0.4263590029871862
4,30,10,0.7461282552275759
4,30,20,0.682174404779498
4,30,30,0.5755846540327014
4,30,50,0.3197692522403897
4,30,100,0.3837231026884676
4,30,150,0.4050410528378269
4,30,200,0.33042822731506927
4,50,10,0.7461282552275759
4,50,20,0.7141513300035369
4,50,30,0.6608564546301385
4,50,50,0.7034923549288571
4,50,100,0.554266703883342
4,50,150,0.3943820777631472
4,50,200,0.37306412761378793
4,100,10,0.7461282552275759
4,100,20,0.7461282552275759
4,100,30,0.7461282552275759
4,100,50,0.7248103050782164
4,100,100,0.6608564546301385
4,100,150,0.2558154017923117
4,100,200,0.4903128534352641
4,150,10,0.7461282552275759
4,150,20,0.7461282552275759
4,150,30,0.7461282552275759
4,150,50,0.7461282552275759
4,150,100,0.6928333798541775
4,150,150,0.5969026041820606
4,150,200,0.44767695313654554
4,200,10,0.7461282552275759
4,200,20,0.7461282552275759
4,200,30,0.7461282552275759
